,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
431,Eryngium yuccafolium, $3.50 ,Seeds,FS,HP (zones 4-8),4 FEET,M N O,http://companionplants.com/catalog/images/thumbs/Eryngium%20yuccafolium.jpg
432,Eucalyptus cineraria, $3.50 ,Seeds,fs,TP (to zone 9),20 FEET,A E M O,http://companionplants.com/catalog/images/thumbs/Eucalyptus%20cinerea.jpg
433,Eucalyptus citriodora, $3.50 ,Seeds,FS,TP (to zone 9),60 FEET,A M O,http://companionplants.com/catalog/images/thumbs/Eucalyptus%20citriodora.jpg
434,Eucalyptus globulus, $3.50 ,Seeds,FS,TP (to zone 9),100 FEET,A M O,http://companionplants.com/catalog/images/thumbs/Eucalyptus%20globulus.jpg
435,Foeniculum dulce Seed, $3.50 ,Seeds,FS,A,3 FEET,C,http://companionplants.com/catalog/images/Photo_Unavail.jpg
436,Foeniculum vulgare var, $3.50 ,Seeds,FS,HP (zones 4-9),4 FEET,B C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
437,Foeniculum vulgare, $3.50 ,Seeds,FS,HP,6 - 8 FEET,C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
438,Hedeoma pulegioides Seed, $3.50 ,Seeds,PS-FS,A,8 INCHES,A M N R,http://companionplants.com/catalog/images/Hedeoma%20pulegiodes%20-%20American%20Pennyroyal.jpg
439,Hypericum punctatum Seed, $3.50 ,Seeds,PS-FS,HP (zones 3- 9),3 FEET,M N,http://companionplants.com/catalog/images/Photo_Unavail.jpg
440,Nicandra psallioides Seed, $3.50 ,Seeds,FS,A,6 FEET,O M R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
441,Ocimum basilicum var Seed, $3.50 ,Seeds,FS,A,30 INCHES,A C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
442,Ocimum basilicum var Seed, $3.50 ,Seeds,FS,A,3 FEET,A C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
443,Ocimum basilicum var Seed, $3.50 ,Seeds,FS,A,2 FEET,A C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
444,Ocimum basilicum var Seed, $3.50 ,Seeds,FS,A,30 INCHES,A C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
445,Ocimum basilicum Seed, $3.50 ,Seeds,FS,A,30 INCHES,A C H M R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
